gender;age_category;5km_time;time
0;50;1824;8045
0;50;1717;8046
0;50;1717;8050
0;50;1753;8052
0;50;1887;8059
0;50;1926;8072
0;50;1619;8080
0;50;1831;8082
0;50;1816;8085
0;50;1824;8090
0;50;1777;8092
0;50;1704;8094
0;50;1706;8095
0;50;1669;8095
0;50;1978;8123
0;50;1883;8123
0;50;1750;8125
0;50;1703;8126
0;50;1743;8134
0;50;1905;8168
0;50;1692;8173
0;50;1778;8197
0;50;1813;8198
0;50;1978;8210
0;50;1365;8223
0;50;1951;8234
0;50;1892;8250
0;50;1950;8267
0;50;1748;8268
0;50;1855;8293
0;50;1892;8294
0;50;1644;8299
0;50;1947;8308
0;50;1828;8316
0;50;1925;8326
0;50;1755;8327
0;50;1525;8337
0;50;1647;8343
0;50;1710;8350
0;50;1803;8390
0;50;1748;8406
0;50;1832;8419
0;50;1944;8427
0;50;1895;8443
0;50;1826;8454
0;50;1704;8466
0;50;1688;8472
0;50;1954;8475
0;50;1909;8492
0;50;1812;8498
0;50;1778;8500
0;50;1910;8526
0;50;1689;8535
0;50;2045;8559
0;50;1795;8566
0;50;1870;8591
0;50;1930;8607
0;50;1747;8619
0;50;1646;8626
0;50;1996;8627
0;50;1908;8631
0;50;1970;8649
0;50;1918;8679
0;50;1966;8702
0;50;1721;8717
0;50;1932;8719
0;50;1905;8732
0;50;1960;8735
0;50;1893;8749
0;50;1746;8808
0;50;1902;8811
0;50;1901;8816
0;50;1653;8832
0;50;1780;8845
0;50;1905;8849
0;50;1987;8907
0;50;1959;8912
0;50;1909;8912
0;50;1901;8965
0;50;1894;8988
0;50;1894;8991
0;50;1846;8993
0;50;1937;9011
0;50;2032;9017
0;50;1969;9032
0;50;2080;9034
0;50;2078;9038
0;50;1930;9039
0;50;1978;9043
0;50;1891;9080
0;50;1855;9082
0;50;2051;9117
0;50;1978;9130
0;50;2041;9180
0;50;1966;9182
0;50;2070;9186
0;50;1911;9205
0;50;2082;9222
0;50;1773;9223
0;50;2175;9225
0;50;2040;9239
0;50;1946;9245
0;50;1980;9250
0;50;1852;9305
0;50;1856;9309
0;50;1961;9319
0;50;1827;9475
0;50;2017;9545
0;50;1992;9602
0;50;2017;9696
0;50;2057;9708
0;50;2058;9722
0;50;1935;9727
0;50;2135;9744
0;50;1793;9798
0;50;1994;9803
0;50;2011;9812
0;50;2118;9821
0;50;2119;9825
0;50;2066;9847
0;50;1844;9853
0;50;2079;9876
0;50;1935;9904
0;50;1970;9921
0;50;2050;9926
0;50;1841;9967
0;50;2178;9975
0;50;1968;9998
0;50;1013;4484
